Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price
Ford,Taurus,2010,Other,White,Semi Full,3.5,Gas,Automatic,117000,Dammam,29500
Mazda,CX9,2020,Saudi,Grey,Full,2.5,Gas,Automatic,44001,Riyadh,144500
GMC,Yukon,2018,Saudi,White,Standard,5.3,Gas,Automatic,133634,Riyadh,146500
GMC,Yukon,2018,Saudi,Brown,Standard,5.3,Gas,Automatic,101960,Riyadh,146500
Hyundai,Sonata,2019,Saudi,Silver,Standard,2.4,Gas,Automatic,110900,Riyadh,57000
Nissan,Sentra,2016,Saudi,Silver,Standard,1.6,Gas,Automatic,96000,Riyadh,31000
Hyundai,Accent,2020,Saudi,White,Standard,1.4,Gas,Automatic,21000,Hail,47000
Hyundai,Accent,2016,Saudi,White,Standard,1.6,Gas,Automatic,147000,Dammam,24000
Lexus,LX,2014,Saudi,Bronze,Full,5.7,Gas,Automatic,160000,Dammam,188000
Hyundai,Sonata,2018,Saudi,Brown,Semi Full,2.4,Gas,Automatic,90000,Riyadh,57000
Kia,Sportage,2018,Saudi,Silver,Standard,2.4,Gas,Automatic,93000,Riyadh,54000
Hyundai,Accent,2017,Saudi,White,Standard,1.4,Gas,Automatic,102000,Dammam,27500
Ford,Taurus,2017,Saudi,Another Color,Semi Full,3.5,Gas,Automatic,72000,Dammam,65000
Ford,Taurus,2013,Saudi,Silver,Full,3.5,Gas,Automatic,128000,Dammam,45000
Chevrolet,Tahoe,2015,Gulf Arabic,White,Full,5.3,Gas,Automatic,189000,Dammam,130000
Toyota,FJ,2017,Saudi,White,Full,4.0,Gas,Automatic,265000,Dammam,110000
Toyota,Corolla,2018,Saudi,White,Semi Full,1.6,Gas,Automatic,124000,Khobar,40000
Hyundai,Sonata,2018,Saudi,White,Semi Full,2.4,Gas,Automatic,63000,Tabouk,60000
Chevrolet,Tahoe,2016,Saudi,Blue,Semi Full,5.3,Gas,Automatic,230,Riyadh,97000
Honda,Accord,2017,Saudi,White,Standard,2.4,Gas,Automatic,104000,Dammam,79000
Nissan,VTC,2014,Saudi,White,Standard,4.0,Gas,Manual,207000,Dammam,65000
GMC,Yukon,2018,Saudi,Silver,Standard,5.3,Gas,Automatic,82469,Riyadh,146500
Maserati,Gamble,2016,Gulf Arabic,Blue,Full,3.0,Gas,Automatic,102133,Jeddah,146500
GMC,Yukon,2018,Saudi,Grey,Standard,5.3,Gas,Automatic,92736,Riyadh,146500
Toyota,Yaris,2014,Saudi,Another Color,Standard,1.4,Gas,Automatic,201000,Riyadh,23000
Toyota,Furniture,2011,Saudi,Another Color,Standard,2.7,Gas,Automatic,325,Riyadh,32000
Chevrolet,Silverado,2019,Gulf Arabic,Black,Full,5.3,Gas,Automatic,77000,Khobar,185000
BMW,The 5,2019,Saudi,White,Semi Full,2.0,Gas,Automatic,29900,Jeddah,150000
BMW,The 3,2011,Saudi,Red,Full,2.5,Gas,Automatic,74000,Jeddah,35000
Isuzu,Dyna,2016,Saudi,White,Standard,1.5,Diesel,Manual,420,Riyadh,104000
Ford,Taurus,2015,Other,Grey,Full,3.5,Gas,Automatic,92000,Dammam,72000
Toyota,Corolla,2017,Saudi,Silver,Standard,1.6,Gas,Automatic,98696,Dammam,45000
Toyota,Furniture,2015,Saudi,Grey,Semi Full,4.0,Gas,Automatic,141000,Dammam,85000
Chevrolet,Lumina,2006,Saudi,Silver,Standard,3.8,Gas,Automatic,306000,Khobar,9000
Ford,Victoria,2011,Saudi,Another Color,Standard,4.7,Gas,Automatic,318000,Al-Medina,30000
Ford,Fusion,2016,Gulf Arabic,White,Semi Full,1.2,Gas,Automatic,99200,Dammam,45000
Dodge,Charger,2019,Saudi,Another Color,Semi Full,3.6,Gas,Automatic,76000,Qassim,102000
Mercedes,CLS,2014,Saudi,White,Full,3.5,Gas,Automatic,88000,Jeddah,110000
GMC,Yukon,2016,Saudi,Another Color,Standard,5.3,Gas,Automatic,230000,Dammam,118000
Toyota,FJ,2016,Saudi,White,Full,4.0,Gas,Automatic,193000,Dammam,110000
Land Rover,Range Rover,2015,Saudi,Another Color,Full,2.0,Gas,Automatic,113000,Dammam,100000
Genesis,Royal,2015,Saudi,Brown,Full,3.8,Gas,Automatic,148000,Dammam,68000
Chevrolet,Tahoe,2012,Saudi,Brown,Semi Full,5.3,Gas,Automatic,300000,Dammam,48000
GMC,Yukon,2008,Saudi,Bronze,Standard,5.3,Gas,Automatic,189000,Dammam,45000
GMC,Yukon,2018,Saudi,Silver,Standard,5.3,Gas,Automatic,82011,Riyadh,146500
GMC,Yukon,2018,Saudi,Grey,Standard,5.3,Gas,Automatic,68878,Riyadh,146500
GMC,Yukon,2018,Saudi,White,Standard,5.3,Gas,Automatic,87656,Riyadh,146500
Toyota,Land Cruiser Pickup,2021,Saudi,Another Color,Full,4.0,Gas,Manual,7456,Riyadh,146500
Nissan,VTC,2009,Saudi,White,Standard,4.0,Gas,Manual,54000,Dammam,42000
Nissan,Pathfinder,2014,Saudi,Grey,Standard,3.5,Gas,Automatic,367000,Dammam,37000
Toyota,Land Cruiser Pickup,2020,Saudi,Another Color,Full,4.0,Gas,Manual,18000,Dammam,140000
Toyota,Land Cruiser,2014,Gulf Arabic,White,Full,4.6,Gas,Automatic,220000,Dammam,135000
Toyota,Land Cruiser,2016,Gulf Arabic,White,Full,4.0,Gas,Manual,220000,Dammam,130000
Toyota,Land Cruiser Pickup,2016,Gulf Arabic,Another Color,Semi Full,4.0,Gas,Manual,214000,Dammam,100000
Toyota,Land Cruiser,2011,Saudi,White,Full,4.6,Gas,Automatic,360000,Dammam,97000
Toyota,Land Cruiser Pickup,2016,Gulf Arabic,Another Color,Semi Full,4.0,Gas,Manual,223000,Dammam,95000
Toyota,Ciocca,2016,Saudi,Silver,Semi Full,5.7,Gas,Automatic,235000,Dammam,86000
GMC,Sierra,2015,Saudi,Brown,Standard,5.3,Gas,Automatic,167000,Dammam,77000
Toyota,Hilux,2016,Gulf Arabic,White,Semi Full,2.7,Gas,Manual,155100,Dammam,77000
Toyota,Land Cruiser,2007,Saudi,White,Standard,4.5,Gas,Manual,480000,Dammam,65000
Toyota,Land Cruiser,2004,Saudi,Black,Standard,4.0,Gas,Manual,440000,Dammam,65000
Ford,Expedition,2014,Saudi,Grey,Semi Full,5.4,Gas,Automatic,320000,Dammam,55000
Chevrolet,Caprice,2013,Saudi,White,Full,6.0,Gas,Automatic,190000,Dammam,50000
GMC,Yukon,2009,Saudi,Another Color,Full,5.3,Gas,Automatic,440000,Dammam,45000
Nissan,Datsun,2016,Saudi,White,Semi Full,2.4,Gas,Manual,125000,Dammam,45000
Mitsubishi,L200,2016,Saudi,White,Standard,2.5,Gas,Manual,77000,Dammam,38000
Ford,Victoria,2012,Saudi,Another Color,Standard,4.5,Gas,Automatic,220000,Dammam,35000
Hyundai,Elantra,2016,Saudi,Silver,Full,2.0,Gas,Automatic,150000,Riyadh,47000
Ford,Victoria,2010,Saudi,Bronze,Standard,4.6,Gas,Automatic,267488,Riyadh,32000
Isuzu,D-MAX,2007,Saudi,White,Standard,2.5,Diesel,Manual,570000,Dammam,27000
Nissan,Sunny,2018,Saudi,White,Standard,1.5,Gas,Automatic,52000,Riyadh,31000
Hyundai,Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,135000,Dammam,30000
Mazda,CX9,2020,Saudi,Grey,Full,2.5,Gas,Automatic,21367,Riyadh,148500
Toyota,Land Cruiser,2013,Saudi,White,Full,5.7,Gas,Automatic,222816,Riyadh,153500
Toyota,Land Cruiser,2015,Gulf Arabic,White,Full,5.7,Gas,Automatic,143203,Riyadh,156500
Kia,Picanto,2017,Saudi,Red,Semi Full,1.4,Gas,Automatic,148000,Jeddah,20000
Dodge,Challenger,2013,Saudi,Grey,Semi Full,3.6,Gas,Automatic,278000,Al-Ahsa,45000
Lexus,LX,2012,Saudi,Silver,Full,5.7,Gas,Automatic,309,Makkah,150000
BMW,The 7,2018,Gulf Arabic,Bronze,Full,2.0,Gas,Automatic,12500,Jubail,250000
Subaru,Forester,2009,Saudi,Black,Full,2.5,Gas,Automatic,220000,Jeddah,25000
Toyota,Land Cruiser,2019,Saudi,White,Standard,4.0,Gas,Automatic,20000,Riyadh,181000
Toyota,Hiace,2018,Saudi,White,Standard,2.7,Gas,Manual,108000,Riyadh,110000
Toyota,Prado,2016,Gulf Arabic,White,Full,4.0,Gas,Automatic,168000,Riyadh,109000
Chevrolet,Malibu,2017,Gulf Arabic,White,Standard,2.4,Gas,Automatic,117000,Riyadh,45000
Toyota,Land Cruiser,2019,Gulf Arabic,White,Full,4.0,Gas,Automatic,50000,Riyadh,188500
Mazda,CX5,2020,Gulf Arabic,Red,Standard,2.5,Gas,Automatic,4000,Riyadh,83500
Ford,Explorer,2011,Other,Grey,Standard,3.6,Gas,Automatic,226185,Riyadh,31000
Chevrolet,Suburban,2016,Saudi,White,Standard,5.3,Gas,Automatic,174000,Dammam,103000
Toyota,Land Cruiser,2016,Gulf Arabic,Black,Full,5.7,Gas,Automatic,122000,Dammam,200000
Nissan,Sentra,2016,Saudi,Grey,Semi Full,1.6,Gas,Automatic,113000,Riyadh,31000
Toyota,Land Cruiser,2019,Gulf Arabic,White,Full,4.0,Gas,Automatic,30000,Riyadh,194500
Mercedes,E,2019,Saudi,White,Full,2.0,Gas,Automatic,109007,Jeddah,160000
BMW,X,2016,Gulf Arabic,White,Full,4.4,Gas,Automatic,130341,Riyadh,161500
Nissan,Patrol,2017,Saudi,White,Full,4.6,Gas,Automatic,31538,Riyadh,161500
Toyota,Land Cruiser,2017,Saudi,White,Standard,4.0,Gas,Automatic,127453,Riyadh,166500
Hyundai,Sonata,2015,Saudi,White,Semi Full,2.4,Gas,Automatic,284000,Jeddah,39500
Mazda,3,2018,Saudi,Silver,Standard,2.0,Gas,Automatic,47000,Al-Medina,54000
Ford,Taurus,2010,Other,Oily,Full,3.5,Gas,Automatic,254000,Khobar,35000
Toyota,Prado,2018,Gulf Arabic,White,Semi Full,4.0,Gas,Automatic,80000,Dammam,142000
Mercedes,C,2015,Other,White,Full,2.0,Gas,Automatic,90000,Dammam,107000
Ford,Taurus,2015,Other,White,Full,3.5,Gas,Automatic,121000,Dammam,81000
Lexus,IS,2015,Other,White,Full,3.5,Gas,Automatic,132000,Dammam,106000
Chevrolet,Malibu,2016,Saudi,White,Full,3.6,Gas,Automatic,105000,Dammam,47000
GMC,Yukon,2012,Saudi,Bronze,Standard,5.3,Gas,Automatic,177000,Dammam,75000
Ford,Taurus,2015,Other,White,Full,3.2,Gas,Automatic,135000,Dammam,74000
Chevrolet,Tahoe,2016,Other,White,Full,5.3,Gas,Automatic,110000,Dammam,144000
Isuzu,D-MAX,2018,Saudi,White,Standard,2.5,Diesel,Manual,39000,Riyadh,72000
Mercedes,E,2017,Other,White,Full,2.0,Gas,Automatic,58000,Dammam,177000
Toyota,Land Cruiser,2019,Saudi,White,Full,4.6,Gas,Automatic,71000,Riyadh,200000
Ford,Echo Sport,2021,Gulf Arabic,Silver,Semi Full,1.5,Gas,Automatic,1900,Riyadh,55000
Ford,Echo Sport,2021,Saudi,Black,Semi Full,1.5,Gas,Automatic,4600,Riyadh,55000
Toyota,Land Cruiser,2021,Gulf Arabic,White,Semi Full,4.0,Gas,Automatic,4000,Riyadh,225000
Ford,Echo Sport,2020,Gulf Arabic,Black,Semi Full,2.0,Gas,Automatic,2400,Riyadh,55000
Toyota,Land Cruiser,2017,Gulf Arabic,White,Semi Full,5.7,Gas,Automatic,100000,Riyadh,210000
Mercedes,C,2017,Saudi,White,Semi Full,2.0,Gas,Automatic,81597,Riyadh,169500
Toyota,Land Cruiser,2017,Saudi,White,Semi Full,4.6,Gas,Automatic,125188,Riyadh,171500
Toyota,Land Cruiser,2015,Saudi,White,Full,5.7,Gas,Automatic,153281,Riyadh,171500
Ford,Echo Sport,2020,Gulf Arabic,Silver,Semi Full,2.0,Gas,Automatic,3000,Riyadh,55000
Hyundai,Accent,2019,Saudi,Grey,Standard,1.4,Gas,Automatic,78000,Dammam,40000
Ford,Mustang,2016,Other,Red,Full,5.0,Gas,Automatic,92000,Dammam,129000
Toyota,Hiace,2016,Saudi,White,Standard,2.7,Gas,Manual,264000,Dammam,65000
Lexus,GX,2018,Saudi,White,Full,4.6,Gas,Automatic,53189,Riyadh,179000
Lexus,RX,2016,Saudi,Grey,Full,3.5,Gas,Automatic,69070,Jeddah,180000
GMC,Yukon,2020,Saudi,Black,Standard,5.3,Gas,Automatic,19348,Riyadh,186500
Lexus,RX,2017,Gulf Arabic,Black,Full,3.5,Gas,Automatic,59073,Riyadh,186500
Lexus,ES,2014,Saudi,Another Color,Semi Full,3.5,Gas,Automatic,121000,Dammam,90000
MG,360,2018,Saudi,Golden,Standard,1.5,Gas,Automatic,50000,Riyadh,26500
Chevrolet,Blazer,2017,Gulf Arabic,White,Semi Full,3.6,Gas,Automatic,115000,Khobar,63000
Toyota,Hiace,2016,Gulf Arabic,White,Standard,2.7,Gas,Manual,146000,Qassim,55000
GMC,Sierra,2020,Saudi,Red,Standard,3.0,Gas,Automatic,24000,Jeddah,135000
Toyota,Hilux,2017,Saudi,White,Standard,2.7,Gas,Manual,73000,Dammam,72000
Changan,Seven,2020,Saudi,Silver,Standard,1.5,Gas,Automatic,37000,Riyadh,28000
Ford,Taurus,2012,Saudi,White,Semi Full,3.5,Gas,Automatic,327000,Dammam,35000
Ford,Flex,2016,Other,Silver,Standard,3.5,Gas,Automatic,183000,Al-Ahsa,60000
Suzuki,Jimny,2010,Saudi,White,Standard,1.3,Gas,Manual,93000,Riyadh,14000
Suzuki,Jimny,2013,Saudi,White,Standard,1.3,Gas,Manual,35700,Riyadh,16000
Lexus,ES,2013,Saudi,White,Semi Full,2.5,Gas,Automatic,239,Makkah,65000
GMC,Yukon,2021,Saudi,Another Color,Standard,5.3,Gas,Automatic,4000,Jeddah,1000
Ford,Taurus,2015,Other,Grey,Full,3.5,Gas,Automatic,100000,Dammam,79000
Mercedes,C,2016,Other,White,Full,2.0,Gas,Automatic,84000,Dammam,129000
Ford,Taurus,2015,Other,Grey,Full,3.5,Gas,Automatic,112000,Dammam,81000
Ford,Mustang,2016,Saudi,Silver,Standard,5.0,Gas,Automatic,184000,Jubail,3049
Dodge,Charger,2020,Unknown,Grey,Full,3.6,Gas,Automatic,9120,Riyadh,115000
Toyota,Land Cruiser,2020,Saudi,White,Standard,4.0,Gas,Automatic,560,Riyadh,191500
BMW,The 7,2019,Saudi,White,Semi Full,2.0,Gas,Automatic,49000,Jeddah,194000
Land Rover,Range Rover,2015,Saudi,White,Standard,2.0,Gas,Automatic,94000,Dammam,96000
Hyundai,Sonata,2016,Unknown,Another Color,Semi Full,2.4,Gas,Automatic,258000,Al-Ahsa,38000
Lexus,ES,2021,Unknown,Silver,Full,3.5,Gas,Automatic,1300,Jeddah,175000
Chevrolet,Caprice,2009,Saudi,White,Full,6.3,Gas,Automatic,211000,Riyadh,40000
Jaguar,XJ,2016,Saudi,White,Full,3.0,Gas,Automatic,38000,Jeddah,155000
Mercedes,S,2008,Saudi,Black,Full,1.0,Gas,Automatic,190,Aseer,65000
Toyota,Hilux,2018,Saudi,White,Full,2.7,Gas,Manual,27000,Jeddah,88000
Toyota,Hilux,2019,Saudi,White,Semi Full,2.7,Gas,Manual,23000,Jeddah,90000
Hyundai,Sonata,2018,Saudi,Silver,Standard,2.4,Gas,Automatic,134000,Riyadh,48000
Mercedes,C,2016,Other,Grey,Full,2.0,Gas,Automatic,120000,Riyadh,114000
Lexus,ES,2007,Other,Black,Full,6.1,Gas,Automatic,240000,Khobar,24000
Toyota,Hilux,2016,Saudi,White,Full,2.7,Gas,Manual,320000,Riyadh,65000
Toyota,Land Cruiser,2019,Gulf Arabic,White,Full,4.0,Gas,Automatic,106665,Jeddah,205000
Toyota,Land Cruiser,2018,Saudi,White,Full,4.6,Gas,Automatic,124226,Riyadh,206500
Lexus,LX,2015,Saudi,White,Full,5.7,Gas,Automatic,108478,Riyadh,211500
Nissan,Patrol,2014,Saudi,White,Full,4.0,Gas,Automatic,25000,Riyadh,115000
Toyota,Land Cruiser,2021,Gulf Arabic,White,Full,4.6,Gas,Automatic,3000,Al-Jouf,260000
Toyota,Yaris,2017,Saudi,Grey,Standard,1.3,Gas,Automatic,137200,Jeddah,32000
Mitsubishi,Attrage,2021,Saudi,Grey,Standard,1.2,Gas,Automatic,900,Riyadh,37000
GMC,Yukon,2008,Saudi,Black,Standard,5.3,Gas,Automatic,440000,Dammam,28000
Toyota,Hiace,2016,Saudi,White,Semi Full,2.7,Gas,Manual,203,Aseer,58000
Toyota,Hilux,2019,Saudi,White,Full,2.7,Gas,Manual,122,Aseer,75000
Ford,Taurus,2012,Saudi,Golden,Semi Full,6.0,Gas,Automatic,166000,Hail,30000
Nissan,Datsun,2015,Other,White,Semi Full,2.4,Gas,Manual,108500,Riyadh,27500
Nissan,Datsun,2015,Saudi,White,Full,2.4,Gas,Manual,205000,Dammam,30000
Chevrolet,Tahoe,2013,Saudi,Silver,Standard,5.3,Gas,Automatic,300000,Jeddah,48000
Lifan,LF X60,2016,Saudi,Red,Full,1.6,Gas,Automatic,128000,Jeddah,25000
Toyota,Corolla,2014,Saudi,White,Standard,1.6,Gas,Automatic,275000,Jeddah,25000
Toyota,Land Cruiser,2021,Saudi,Black,Semi Full,4.0,Gas,Automatic,5352,Riyadh,216500
Toyota,Land Cruiser,2016,Saudi,White,Semi Full,5.7,Gas,Automatic,68534,Riyadh,224500
Toyota,Land Cruiser,2021,Gulf Arabic,White,Semi Full,4.0,Gas,Automatic,4780,Riyadh,226500
Mercedes,S,2016,Other,White,Full,4.7,Gas,Automatic,95061,Riyadh,236500
Toyota,Innova,2016,Saudi,Silver,Semi Full,2.7,Gas,Automatic,179600,Dammam,51000
Mitsubishi,Pajero,2016,Saudi,White,Standard,3.8,Gas,Automatic,144624,Riyadh,47000
Kia,Rio,2017,Other,Black,Standard,1.4,Gas,Automatic,147000,Jeddah,26000
Toyota,Innova,2015,Saudi,White,Full,2.7,Gas,Automatic,195000,Riyadh,52000
Toyota,Land Cruiser,2011,Saudi,White,Full,4.0,Gas,Automatic,273392,Riyadh,100000
Toyota,Land Cruiser,2011,Saudi,White,Full,4.0,Gas,Automatic,349266,Riyadh,100000
Lexus,LX,2006,Gulf Arabic,Bronze,Full,5.7,Gas,Automatic,390000,Riyadh,74000
Toyota,Land Cruiser,2015,Saudi,White,Full,4.6,Gas,Automatic,215000,Riyadh,146000
Chrysler,C300,2005,Other,Silver,Full,5.7,Gas,Automatic,331000,Dammam,15000
Toyota,Rav4,2018,Saudi,White,Full,2.5,Gas,Automatic,90000,Tabouk,1300
Mercedes,E,2014,Saudi,Black,Full,4.0,Gas,Automatic,161000,Dammam,95000
Nissan,Maxima,2006,Other,Another Color,Standard,3.0,Gas,Manual,400000,Jeddah,10000
Mazda,CX9,2019,Saudi,Red,Full,2.5,Gas,Automatic,48000,Makkah,120000
BMW,The 7,2010,Saudi,Bronze,Full,2.0,Gas,Automatic,205,Riyadh,45000
Toyota,Furniture,2009,Saudi,Silver,Standard,2.7,Gas,Manual,530500,Taef,33000
Nissan,Pathfinder,2013,Saudi,Golden,Semi Full,3.5,Gas,Automatic,260000,Abha,45000
Nissan,Patrol,2020,Saudi,White,Full,4.0,Gas,Automatic,42835,Riyadh,241500
Land Rover,Range Rover,2016,Gulf Arabic,White,Full,5.0,Gas,Automatic,132501,Riyadh,245000
Toyota,Land Cruiser,2016,Saudi,White,Full,5.7,Gas,Automatic,1918,Jeddah,251500
Land Rover,Range Rover,2016,Gulf Arabic,Black,Full,5.0,Gas,Automatic,120346,Riyadh,257000
Chevrolet,Lumina,2004,Other,White,Semi Full,3.8,Gas,Automatic,280,Riyadh,12500
Toyota,Hiace,2007,Saudi,White,Standard,2.7,Gas,Manual,230,Jeddah,25000
Hyundai,Accent,2016,Saudi,White,Standard,1.2,Gas,Automatic,74000,Dammam,30000
Chevrolet,Caprice,2013,Saudi,Silver,Standard,6.0,Gas,Automatic,313000,Riyadh,35000
Ford,Expedition,2013,Saudi,Red,Standard,5.4,Gas,Automatic,21700,Dammam,35000
Dodge,Durango,2013,Other,Black,Full,5.7,Gas,Automatic,275000,Tabouk,40000
Kia,K5,2021,Saudi,Silver,Standard,2.5,Gas,Automatic,30000,Aseer,1414
Ford,Expedition,2016,Saudi,Silver,Standard,3.6,Gas,Automatic,127500,Jeddah,79000
Toyota,Innova,2013,Saudi,White,Full,2.7,Gas,Automatic,201000,Riyadh,36000
Ford,Other,2013,Gulf Arabic,Blue,Semi Full,3.0,Gas,Automatic,318000,Riyadh,40000
Nissan,Navara,2015,Saudi,White,Semi Full,2.5,Gas,Manual,119000,Al-Namas,45000
Toyota,Previa,2015,Gulf Arabic,Black,Standard,2.4,Gas,Automatic,218000,Riyadh,45000
Jeep,Wrangler,2014,Saudi,Grey,Full,3.6,Gas,Automatic,88000,Makkah,89000
MG,5,2020,Saudi,Golden,Standard,1.5,Gas,Automatic,7000,Tabouk,34000
Cadillac,Escalade,2019,Saudi,Grey,Full,6.2,Gas,Automatic,58678,Riyadh,261500
Land Rover,Range Rover,2016,Gulf Arabic,Black,Full,5.0,Gas,Automatic,102522,Riyadh,267000
Toyota,Land Cruiser,2021,Saudi,White,Full,4.6,Gas,Automatic,3549,Riyadh,286500
Toyota,Land Cruiser,2020,Gulf Arabic,White,Semi Full,5.7,Gas,Automatic,14598,Riyadh,289500
Chevrolet,Tahoe,2014,Saudi,Black,Full,5.7,Gas,Automatic,205000,Dammam,70000
Toyota,Land Cruiser,2018,Saudi,White,Full,4.6,Gas,Automatic,141197,Riyadh,195000
HAVAL,H6,2019,Other,White,Full,2.0,Gas,Automatic,62000,Riyadh,55000
Hyundai,Sonata,2018,Saudi,White,Semi Full,2.5,Gas,Automatic,90000,Jeddah,55000
Chevrolet,Malibu,2020,Saudi,Black,Standard,1.5,Gas,Automatic,62000,Abha,57000
Ford,Van,2013,Other,White,Semi Full,3.6,Gas,Automatic,186,Tabouk,45000
Mitsubishi,Pajero,2015,Saudi,White,Full,3.8,Gas,Automatic,54000,Jeddah,70000
Toyota,Rav4,2018,Saudi,White,Standard,2.5,Gas,Automatic,72000,Jeddah,95000
GMC,Envoy,2009,Other,Another Color,Standard,4.2,Gas,Automatic,242000,Jeddah,14250
Dodge,Challenger,2014,Saudi,Silver,Full,5.7,Gas,Automatic,155000,Riyadh,68000
Mercedes,C,2018,Gulf Arabic,Silver,Full,2.0,Gas,Automatic,57000,Dammam,167000
Hyundai,Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,127000,Dammam,29000
Jeep,Patriot,2012,Other,Oily,Semi Full,2.4,Gas,Automatic,187000,Riyadh,28500
Chevrolet,Tahoe,2013,Saudi,Brown,Standard,5.3,Gas,Automatic,362000,Jeddah,58000
Toyota,Camry,2013,Saudi,White,Semi Full,2.5,Gas,Automatic,300000,Riyadh,35000
Toyota,Hilux,2018,Gulf Arabic,White,Standard,2.4,Gas,Manual,130000,Dammam,80000
Ford,F150,2019,Saudi,Blue,Semi Full,3.5,Gas,Automatic,13339,Riyadh,291500
Nissan,Patrol,2016,Saudi,White,Semi Full,5.6,Gas,Automatic,50000,Dammam,150000
Honda,Accord,2016,Saudi,White,Semi Full,2.4,Gas,Automatic,15000,Qassim,65000
Ford,F150,2013,Saudi,White,Standard,5.0,Gas,Automatic,299000,Dammam,36000
Toyota,Land Cruiser Pickup,2015,Saudi,White,Semi Full,4.0,Gas,Manual,157000,Dammam,90000
Mercedes,S,2016,Saudi,Black,Semi Full,3.0,Gas,Automatic,70000,Dammam,290000
GMC,Sierra,2011,Saudi,White,Full,6.2,Gas,Automatic,165000,Dammam,65000
Mercedes,GL,2014,Saudi,Black,Full,4.6,Gas,Automatic,159000,Dammam,140000
Mercedes,S,2015,Saudi,Navy,Full,5.0,Gas,Automatic,99000,Dammam,255000
Mercedes,S,2014,Saudi,Oily,Semi Full,4.0,Gas,Automatic,138000,Dammam,260000
Hyundai,Elantra,2016,Saudi,Grey,Standard,1.6,Gas,Automatic,141000,Dammam,36000
Land Rover,Range Rover,2015,Saudi,Blue,Full,3.0,Gas,Automatic,105000,Dammam,190000
Nissan,Sunny,2018,Saudi,White,Standard,1.5,Gas,Automatic,94000,Dammam,28500
Land Rover,Range Rover,2015,Saudi,White,Full,5.0,Gas,Automatic,140000,Dammam,245000
BMW,The M,2018,Gulf Arabic,Black,Standard,2.0,Gas,Automatic,1600,Dammam,135000
Hyundai,Accent,2017,Saudi,White,Standard,1.4,Gas,Automatic,32000,Dammam,33000
Hyundai,Elantra,2016,Saudi,White,Semi Full,2.0,Gas,Automatic,100000,Dammam,40000
Toyota,Rav4,2011,Saudi,Silver,Standard,2.5,Gas,Automatic,485000,Dammam,32000
Toyota,Land Cruiser,2015,Saudi,Grey,Full,4.0,Gas,Automatic,180000,Dammam,135000
Chevrolet,Suburban,2016,Saudi,Black,Standard,5.3,Gas,Automatic,170000,Dammam,100000
Bentley,Flying Spur,2010,Saudi,Another Color,Full,5.0,Gas,Automatic,58000,Dammam,175000
Mercedes,G,2015,Saudi,Black,Full,4.0,Gas,Automatic,188000,Dammam,270000
Chevrolet,Impala,2016,Saudi,Black,Standard,3.5,Gas,Automatic,192000,Dammam,65000
Porsche,Cayenne S,2014,Saudi,Brown,Full,3.0,Gas,Automatic,118000,Dammam,145000
Toyota,Hilux,2012,Saudi,Silver,Full,2.7,Gas,Automatic,127000,Riyadh,65000
Jaguar,XJ,2014,Saudi,Another Color,Full,3.0,Gas,Automatic,112000,Dammam,95000
Mitsubishi,ASX,2021,Saudi,Grey,Full,2.0,Gas,Automatic,2300,Riyadh,75000
Toyota,Corolla,2018,Saudi,White,Standard,1.6,Gas,Automatic,57000,Dammam,45000
Jaguar,F Type,2016,Gulf Arabic,Red,Full,3.0,Gas,Automatic,42000,Dammam,190000
Toyota,Yaris,2018,Saudi,Brown,Standard,1.5,Gas,Automatic,122000,Dammam,37000
Mercedes,S,2011,Saudi,Grey,Full,3.0,Gas,Automatic,189,Al-Medina,100000
Toyota,Yaris,2016,Saudi,White,Standard,1.5,Gas,Automatic,190000,Dammam,26000
Mercedes,C,2014,Saudi,White,Semi Full,2.0,Gas,Automatic,270000,Makkah,57000
Honda,Accord,2015,Saudi,White,Standard,2.4,Gas,Automatic,85000,Dammam,69000
GMC,Sierra,2015,Other,Brown,Standard,5.3,Gas,Automatic,145000,Riyadh,87500
Ford,Taurus,2016,Other,Black,Full,3.5,Gas,Automatic,110000,Dammam,75000
Ford,Taurus,2016,Other,Brown,Full,3.5,Gas,Automatic,91000,Dammam,70000
GMC,Yukon,2016,Other,Silver,Full,4.5,Gas,Automatic,158000,Dammam,152000
Cadillac,Escalade,2016,Other,White,Full,6.2,Gas,Automatic,119000,Dammam,178000
Toyota,Land Cruiser,2016,Gulf Arabic,White,Full,5.7,Gas,Automatic,216000,Riyadh,151000
Dodge,Challenger,2018,Other,Black,Full,3.6,Gas,Automatic,90000,Dammam,109000
INFINITI,Q,2019,Saudi,Silver,Full,3.5,Gas,Automatic,5000,Riyadh,90500
Toyota,Previa,2017,Gulf Arabic,White,Full,2.4,Gas,Automatic,183000,Riyadh,70000
Chevrolet,Impala,2019,Gulf Arabic,Silver,Standard,3.6,Gas,Automatic,58000,Riyadh,65000
Lexus,NX,2020,Gulf Arabic,Grey,Full,2.0,Gas,Automatic,25785,Riyadh,146000
Chevrolet,Impala,2017,Saudi,White,Semi Full,3.6,Gas,Automatic,79000,Riyadh,63500
Mazda,CX5,2020,Gulf Arabic,White,Semi Full,2.5,Gas,Automatic,19928,Riyadh,86500
